CountryCode,Country,CountrySort,CountryTranslationEnglish,CountryTranslationSpanish,CountryTranslationFrench,CountryTranslationGerman,CountryTranslationHindi
IE,Ireland,1,Ireland,Irlanda,Irlande,Irland,आयरलैंड
PT,Portugal,2,Portugal,Portugal,Portugal,Portugal,पुर्तगाल
GB,England,3,England,Inglaterra,Angleterre,England,इंग्लैंड
ES,Spain,4,Spain,España,Espagne,Spanien,स्पेन
FR,France,5,France,Francia,France,Frankreich,फ़्रांस
BE,Belgium,6,Belgium,Bélgica,Belgique,Belgien,बेल्जियम
NL,Netherlands,7,Netherlands,Países Bajos,Pays-Bas,Niederlande,पाताल भूमि
CH,Switzerland,8,Switzerland,Suiza,Suisse,Schweiz,स्विट्ज़रलैंड
DE,Germany,9,Germany,Alemania,Allemagne,Deutschland,जर्मनी
IT,Italy,10,Italy,Italia,Italie,Italien,इटली
